norad_id,object_name,intldes,first_tle_date,last_tle_date,n_tle_records,current_periapsis_km,current_apoapsis_km,current_bstar,current_mean_motion,current_mm_dot,launch_periapsis_km,periapsis_delta_km,launch_bstar,bstar_delta,max_consecutive_windows,pct_windows_below_eps,first_excursion_date
45425,,20020B,2020-03-21,2025-12-31,5261,1216.2,1219.2,-0.0015789,13.1142,-5.47e-06,432.9,783.3,0.0,-0.0015789,27,1.5,2020-05-21
49397,,21102C,2021-11-09,2025-12-31,3643,501.7,515.5,0.00053677,15.1909,0.00011217,556.7,-55.0,0.0,0.00053677,26,6.9,2022-11-08
59082,,24041J,2024-03-06,2025-12-31,1731,481.9,484.2,-5.523e-05,15.2758,-1.782e-05,304.2,177.7,-0.003274,0.00321877,26,2.4,2024-04-05
62325,,24240C,2024-12-16,2025-12-31,1033,1166.8,1169.0,0.00017392,13.2442,8.9e-07,1096.1,70.7,0.0,0.00017392,26,4.4,2025-01-11
63344,,25059A,2025-03-21,2025-12-31,1111,526.7,548.0,0.000394,15.0963,6.291e-05,532.4,-5.7,0.0,0.000394,26,6.0,2025-03-28
66582,,25268AB,2025-11-26,2025-12-31,136,482.0,484.2,0.0016897,15.2756,0.00046507,281.3,200.7,-0.0034645,0.0051542,26,34.6,2025-12-12
64286,,25121D,2025-06-06,2025-12-31,578,1166.6,1169.2,0.00018095,13.2442,9.2e-07,996.3,170.3,0.0,0.00018095,25,5.3,2025-08-12
48426,,21039D,2021-05-07,2025-12-31,6534,533.0,540.9,0.00077634,15.0975,0.00012794,587.7,-54.7,0.0,0.00077634,24,2.8,2023-10-05
58870,,24019T,2024-02-02,2025-12-31,1797,482.9,483.4,-0.00014762,15.2756,-4.319e-05,302.3,180.5,-0.0047605,0.00461288,24,2.1,2024-02-24
53836,,22114U,2022-09-23,2025-12-31,2962,538.7,540.8,9.368e-05,15.0884,1.203e-05,286.7,252.1,-0.004338,0.00443168,21,1.2,2022-10-04
45406,,20019AY,2020-03-26,2025-12-31,5390,546.3,548.2,9.914e-05,15.0639,1.195e-05,256.4,289.8,0.00080232,-0.00070318,19,1.2,2020-04-14
57985,,23151X,2023-09-30,2025-12-31,2062,558.2,560.0,-0.00023955,15.0253,-3.438e-05,281.9,276.2,0.0024505,-0.00269005,17,0.8,2023-11-06
63247,,25052AP,2025-03-28,2025-12-31,727,578.2,584.5,0.00083893,14.9533,9.202e-05,591.4,-13.2,0.0010448,-0.00020587,17,6.9,2025-04-08
64720,,25142AA,2025-07-03,2025-12-31,540,569.8,574.3,0.0019044,14.9834,0.00022708,286.5,283.2,-0.0038097,0.0057141,16,5.5,2025-07-29
56912,,23083AN,2023-06-20,2025-12-31,2195,558.4,559.8,-1.27e-05,15.0253,-3.75e-06,347.3,211.2,-0.0064109,0.0063982,15,1.1,2023-07-19
66097,,25236M,2025-10-31,2025-12-31,182,474.4,476.1,0.00092238,15.3018,0.00027042,333.3,141.2,-0.010305,0.01122738,15,17.6,2025-11-17
66151,,25240F,2025-11-04,2025-12-31,179,474.2,476.1,0.0014561,15.3022,0.00043045,323.6,150.6,-0.0077322,0.0091883,15,36.0,2025-11-17
55629,,23021B,2023-02-22,2025-12-31,2708,569.6,574.2,-0.00029864,14.9837,-3.659e-05,264.6,305.1,-0.0026963,0.00239766,14,0.7,2023-03-23
56692,,23067E,2023-05-25,2025-12-31,2345,558.2,559.9,5.866e-05,15.0254,5.89e-06,330.3,227.9,-0.0034773,0.00353596,14,1.5,2023-06-19
58070,,23158V,2023-10-20,2025-12-31,2001,558.3,559.8,-0.00016749,15.0255,-2.466e-05,284.9,273.5,-0.0024165,0.00224901,14,1.8,2023-11-23
63356,,25061F,2025-03-26,2025-12-31,682,512.7,540.8,0.00050407,15.131,8.907e-05,524.4,-11.8,0.0,0.00050407,14,2.3,2025-09-25
65333,,25189L,2025-09-05,2025-12-31,191,474.5,476.0,0.00069624,15.302,0.00020317,311.1,163.3,-0.006792,0.00748824,14,32.7,2025-09-24
65683,,25212H,2025-10-07,2025-12-31,223,474.4,475.9,0.0012435,15.3022,0.00036676,354.6,119.8,0.0029113,-0.0016678,14,11.9,2025-10-17
54180,,22141Z,2022-11-03,2025-12-31,2774,538.8,540.7,5.408e-05,15.0884,5.73e-06,295.3,243.5,-0.0048817,0.00493578,13,0.8,2022-11-15
